model,depth,n,n_correct,accuracy,ci_low,ci_high
haiku,1,30,30,1.0,0.8864866068260312,0.9999999999999999
haiku,2,30,22,0.7333333333333333,0.555520383048111,0.8581733668040368
haiku,3,30,6,0.2,0.0950510717728987,0.3730569641314825
haiku,4,30,3,0.1,0.03459988874733419,0.25621082579184085
haiku,5,30,2,0.06666666666666667,0.018477023791270378,0.2132345836261692
haiku,6,30,7,0.23333333333333334,0.11792388144489496,0.40928326158122164
gpt4o-mini,1,30,30,1.0,0.8864866068260312,0.9999999999999999
gpt4o-mini,2,30,30,1.0,0.8864866068260312,0.9999999999999999
gpt4o-mini,3,30,30,1.0,0.8864866068260312,0.9999999999999999
gpt4o-mini,4,30,30,1.0,0.8864866068260312,0.9999999999999999
gpt4o-mini,5,30,29,0.9666666666666667,0.8332960900859082,0.9940914096183874
gpt4o-mini,6,30,29,0.9666666666666667,0.8332960900859082,0.9940914096183874
